,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
816,817,1952,1,66,Swiss Grand Prix,1952-05-18,\N,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,testing,2024-07-19 09:54:18.999993
817,818,1952,2,19,Indianapolis 500,1952-05-30,\N,http://en.wikipedia.org/wiki/1952_Indianapolis_500,testing,2024-07-19 09:54:18.999993
818,819,1952,3,13,Belgian Grand Prix,1952-06-22,\N,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,testing,2024-07-19 09:54:18.999993
819,820,1952,4,53,French Grand Prix,1952-07-06,\N,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
820,821,1952,5,9,British Grand Prix,1952-07-19,\N,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
821,822,1952,6,20,German Grand Prix,1952-08-03,\N,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
822,823,1952,7,39,Dutch Grand Prix,1952-08-17,\N,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,testing,2024-07-19 09:54:18.999993
823,824,1952,8,14,Italian Grand Prix,1952-09-07,\N,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
