,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
304,305,1991,1,33,United States Grand Prix,1991-03-10,\N,http://en.wikipedia.org/wiki/1991_United_States_Grand_Prix,testing,2024-07-19 09:54:18.999993
305,306,1991,2,18,Brazilian Grand Prix,1991-03-24,\N,http://en.wikipedia.org/wiki/1991_Brazilian_Grand_Prix,testing,2024-07-19 09:54:18.999993
306,307,1991,3,21,San Marino Grand Prix,1991-04-28,\N,http://en.wikipedia.org/wiki/1991_San_Marino_Grand_Prix,testing,2024-07-19 09:54:18.999993
307,308,1991,4,6,Monaco Grand Prix,1991-05-12,\N,http://en.wikipedia.org/wiki/1991_Monaco_Grand_Prix,testing,2024-07-19 09:54:18.999993
308,309,1991,5,7,Canadian Grand Prix,1991-06-02,\N,http://en.wikipedia.org/wiki/1991_Canadian_Grand_Prix,testing,2024-07-19 09:54:18.999993
309,310,1991,6,32,Mexican Grand Prix,1991-06-16,\N,http://en.wikipedia.org/wiki/1991_Mexican_Grand_Prix,testing,2024-07-19 09:54:18.999993
310,311,1991,7,8,French Grand Prix,1991-07-07,\N,http://en.wikipedia.org/wiki/1991_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
311,312,1991,8,9,British Grand Prix,1991-07-14,\N,http://en.wikipedia.org/wiki/1991_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
312,313,1991,9,10,German Grand Prix,1991-07-28,\N,http://en.wikipedia.org/wiki/1991_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
313,314,1991,10,11,Hungarian Grand Prix,1991-08-11,\N,http://en.wikipedia.org/wiki/1991_Hungarian_Grand_Prix,testing,2024-07-19 09:54:18.999993
314,315,1991,11,13,Belgian Grand Prix,1991-08-25,\N,http://en.wikipedia.org/wiki/1991_Belgian_Grand_Prix,testing,2024-07-19 09:54:18.999993
315,316,1991,12,14,Italian Grand Prix,1991-09-08,\N,http://en.wikipedia.org/wiki/1991_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
316,317,1991,13,27,Portuguese Grand Prix,1991-09-22,\N,http://en.wikipedia.org/wiki/1991_Portuguese_Grand_Prix,testing,2024-07-19 09:54:18.999993
317,318,1991,14,4,Spanish Grand Prix,1991-09-29,\N,http://en.wikipedia.org/wiki/1991_Spanish_Grand_Prix,testing,2024-07-19 09:54:18.999993
318,319,1991,15,22,Japanese Grand Prix,1991-10-20,\N,http://en.wikipedia.org/wiki/1991_Japanese_Grand_Prix,testing,2024-07-19 09:54:18.999993
319,320,1991,16,29,Australian Grand Prix,1991-11-03,\N,http://en.wikipedia.org/wiki/1991_Australian_Grand_Prix,testing,2024-07-19 09:54:18.999993
