,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
466,467,1982,1,30,South African Grand Prix,1982-01-23,\N,http://en.wikipedia.org/wiki/1982_South_African_Grand_Prix,testing,2024-07-19 09:54:18.999993
467,468,1982,2,36,Brazilian Grand Prix,1982-03-21,\N,http://en.wikipedia.org/wiki/1982_Brazilian_Grand_Prix,testing,2024-07-19 09:54:18.999993
468,469,1982,3,43,United States Grand Prix West,1982-04-04,\N,http://en.wikipedia.org/wiki/1982_United_States_Grand_Prix_West,testing,2024-07-19 09:54:18.999993
469,470,1982,4,21,San Marino Grand Prix,1982-04-25,\N,http://en.wikipedia.org/wiki/1982_San_Marino_Grand_Prix,testing,2024-07-19 09:54:18.999993
470,471,1982,5,40,Belgian Grand Prix,1982-05-09,\N,http://en.wikipedia.org/wiki/1982_Belgian_Grand_Prix,testing,2024-07-19 09:54:18.999993
471,472,1982,6,6,Monaco Grand Prix,1982-05-23,\N,http://en.wikipedia.org/wiki/1982_Monaco_Grand_Prix,testing,2024-07-19 09:54:18.999993
472,473,1982,7,37,Detroit Grand Prix,1982-06-06,\N,http://en.wikipedia.org/wiki/1982_Detroit_Grand_Prix,testing,2024-07-19 09:54:18.999993
473,474,1982,8,7,Canadian Grand Prix,1982-06-13,\N,http://en.wikipedia.org/wiki/1982_Canadian_Grand_Prix,testing,2024-07-19 09:54:18.999993
474,475,1982,9,39,Dutch Grand Prix,1982-07-03,\N,http://en.wikipedia.org/wiki/1982_Dutch_Grand_Prix,testing,2024-07-19 09:54:18.999993
475,476,1982,10,38,British Grand Prix,1982-07-18,\N,http://en.wikipedia.org/wiki/1982_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
476,477,1982,11,34,French Grand Prix,1982-07-25,\N,http://en.wikipedia.org/wiki/1982_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
477,478,1982,12,10,German Grand Prix,1982-08-08,\N,http://en.wikipedia.org/wiki/1982_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
478,479,1982,13,23,Austrian Grand Prix,1982-08-15,\N,http://en.wikipedia.org/wiki/1982_Austrian_Grand_Prix,testing,2024-07-19 09:54:18.999993
479,480,1982,14,41,Swiss Grand Prix,1982-08-29,\N,http://en.wikipedia.org/wiki/1982_Swiss_Grand_Prix,testing,2024-07-19 09:54:18.999993
480,481,1982,15,14,Italian Grand Prix,1982-09-12,\N,http://en.wikipedia.org/wiki/1982_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
481,482,1982,16,44,Caesars Palace Grand Prix,1982-09-25,\N,http://en.wikipedia.org/wiki/1982_Caesars_Palace_Grand_Prix,testing,2024-07-19 09:54:18.999993
