,raceId,year,round,circuitId,name,date,time,url,data_source,ingestion_date
775,776,1957,1,25,Argentine Grand Prix,1957-01-13,\N,http://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,testing,2024-07-19 09:54:18.999993
776,777,1957,2,6,Monaco Grand Prix,1957-05-19,\N,http://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,testing,2024-07-19 09:54:18.999993
777,778,1957,3,19,Indianapolis 500,1957-05-30,\N,http://en.wikipedia.org/wiki/1957_Indianapolis_500,testing,2024-07-19 09:54:18.999993
778,779,1957,4,53,French Grand Prix,1957-07-07,\N,http://en.wikipedia.org/wiki/1957_French_Grand_Prix,testing,2024-07-19 09:54:18.999993
779,780,1957,5,58,British Grand Prix,1957-07-20,\N,http://en.wikipedia.org/wiki/1957_British_Grand_Prix,testing,2024-07-19 09:54:18.999993
780,781,1957,6,20,German Grand Prix,1957-08-04,\N,http://en.wikipedia.org/wiki/1957_German_Grand_Prix,testing,2024-07-19 09:54:18.999993
781,782,1957,7,65,Pescara Grand Prix,1957-08-18,\N,http://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,testing,2024-07-19 09:54:18.999993
782,783,1957,8,14,Italian Grand Prix,1957-09-08,\N,http://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,testing,2024-07-19 09:54:18.999993
